steamid,personaname
76561197960271369,fatr [E]
76561197960271377,flip
76561197960271385,Tonkey
76561197960271393,nismo
76561197960271398,.:|JYD|:.w3rd[drunkedr][DG]
76561197960271406,Shapeshifter
76561197960271412,vaughan
76561197960271434,saM
76561197960271438,drunky
76561197960271443,Stoner
76561197960271457,MexiDan
76561197960271466,carlitocal
76561197960271481,ã‚¢ãƒ³ãƒ‰ãƒ«ãƒ¼ (AndorÅ«)
76561197960271492,kushet
76561197960271495,hirez
76561197960271497,Lord Griffin
76561197960271498,Lucky
76561197960271505,ViRii
76561197960271506,No'vi Clifford
76561197960271508,seyosK
76561197960271543,H][M  ChoppeR
76561197960271558,nAtr0n
76561197960271586,Phunky
76561197960271590,The Man
76561197960271592,King Dro
76561197960271596,Kohnert
76561197960271603,BlkdieMEND
76561197960271605,Destroyer [Team Win]
76561197960271638,Hinochino
76561197960271645,Daedalus7
76561197960271651,opaque
76561197960271658,SyBex-V-
76561197960271661,[EA] OneLetter
76561197960271665,whiskar
76561197960271687,=B52F=|Pizza Mike
76561197960271690,Dark Knight
76561197960271701,YellowJelloFellow
76561197960271720,MG
76561197960271721,[=UGZ=]Talon
76561197960271725,tech9
76561197960271734,nosi
76561197960271748,FEZ
76561197960271760,rupert
76561197960271769,criss/bati
76561197960271776,chex
76561197960271784,invirt
76561197960271788,crms
76561197960271790,Cyjal
76561197960271791,abc
76561197960271801,rushtoy
76561197960271806,beny
76561197960271818,notsoevilbryan
76561197960271821,Hazzard
76561197960271823,Quake
76561197960271841,leGit
76561197960271846,f2b
76561197960271860,Gimpylee
76561197960271868,yucca666
76561197960271898,mbahra
76561197960271901,Zeknichov
76561197960271909,My Team Sucks
76561197960271911,Mordechai
76561197960271920,ForgiveN
76561197960271935,CovFan
76561197960271961,TkC
76561197960271969,[USDN]PlatooN
76561197960271972,[iTg]-HauNt-
76561197960271975,Viper
76561197960271979,Rycyeroc
76561197960271989,CoconutBoy
76561197960271991,manux
76561197960271992,kofloz
76561197960271999,Deyja
76561197960272011,Exodus
76561197960272018,Dogby
76561197960272022,Fiwer
76561197960272026,A_Banker_From_Boston
76561197960272027,budman <WILL>
76561197960272035,Wuffles
76561197960272047,Brainz
76561197960272084,Swarfega
76561197960272088,ruties
76561197960272112,Piston Smashed
76561197960272113,fenre
76561197960272121,denyasaurus
76561197960272123,Smokey
76561197960272125,Cookieman
76561197960272133,TG | FearlessG1
76561197960272147,Brooks
76561197960272149,Havoc{VTX}
76561197960272161,Schemer
76561197960272164,rogerspry
76561197960272172,Phinor
76561197960272177,Kuoushi
76561197960272178,Austin
76561197960272196,Murray
76561197960272199,revile
76561197960272233,Palette Swap
76561197960272245,FatNOde
76561197960272253,p0l1cy
76561197960272256,stugatz
76561197960272283,lokk
76561197960272284,Deadbolt
76561197960272285,kirBBBBB Tino
76561197960272294,steve.coomber
76561197960272295,trepid_jon
76561197960272328,brettskii
76561197960272342,Kreeper
76561197960272344,FuTeKi
76561197960272347,Ikelol
76561197960272352,spaydeRRRR
76561197960272361,gurX
76561197960272379,Dr. Spaceman
76561197960272383,plinko
76561197960272384,rm -rf /
76561197960272389,Raxus
76561197960272403,Ulti
76561197960272407,NickBlasta
76561197960272426,Jackal
76561197960272458,Shotgun Benny
76561197960272470,RIOTMAKER
76561197960272473,tfiws
76561197960272476,Johnny R.
76561197960272486,PUNiSHER
76561197960272499,studz
76561197960272503,Kittenpotpie
76561197960272504,Gay Moon Flies
76561197960272509,[Ì²Ì…Ì²nÌ…Ì²vÌ²Ì…^Ì²Ì…uÌ²Ì…sÌ…Ì²] -> Ï‡Ð·Ð¸Ï„ÑÄ±Ðº
76561197960272512,bsamurai
76561197960272516,scream.intel bl4uuw
76561197960272526,DropSquad
76561197960272535,starhunk
76561197960272541,BrYaN- CRB
76561197960272542,:{D jopok
76561197960272548,Skriptor
76561197960272550,GOLDEN~ACE
76561197960272562,G-ed up from the feet up
76561197960272576,Legacy
76561197960272577,Json_81
76561197960272579,bizzler
76561197960272582,DEADRO$E
76561197960272593,POW_WOW_DANCE
76561197960272597,Kusa
76561197960272615,Joker
76561197960272618,Spokker
76561197960272626,fallout
76561197960272635,Sabert00th
76561197960272638,bashar al'qaddafi
76561197960272639,[CoFR]dermunkee
76561197960272648,aisen
76561197960272655,Dr. Loose Lips
76561197960272664,monook
76561197960272669,ITS MAHVEL BABY
76561197960272674,Tyfon
76561197960272693,mali
76561197960272705,Turboáµ€á´³
76561197960272719,soh
76561197960272722,Adam Are AWESOME
76561197960272727,josh
76561197960272731,|ISP| ~^Juno^~^Goddess^
76561197960272737,GOnaD
76561197960272738,puch!
76561197960272744,Sarmis
76561197960272748,TracerBullet
76561197960272752,caustiK
76561197960272754,Vi3tMoFo | DirtySouthServers.com
76561197960272755,Hypnotic
76561197960272760,deadpool
76561197960272762,Ñ
76561197960272771,worthless
76561197960272801,Daimyo
76561197960272803,Zolk
76561197960272826,Bored
76561197960272830,SPOON
76561197960272831,neuro
76561197960272835,reow
76561197960272840,JanetReno
76561197960272843,Zareth
76561197960272848,gandalf_ff
76561197960272863,hellboar
76561197960272869,^SYP^ownij
76561197960272877,hentosai
76561197960272881,vim // AWOl
76561197960272887,ommy
76561197960272888,junkhead
76561197960272895,navyen
76561197960272901,Lloyd Christmas
76561197960272940,Intensity
76561197960272967,hoisin
76561197960272973,lain
76561197960272989,nato
76561197960273002,Third Eye
76561197960273003,swarmson
76561197960273015,-]T[- Ukoback
76561197960273018,vidmaster[SOB]
76561197960273041,[SKR8]Gunslinger
76561197960273052,Grakes
76561197960273056,Fjolle
76561197960273080,csoul
76561197960273081,chimaera
76561197960273084,Don't tase me bro!
76561197960273088,â€º Rhino
76561197960273091,Xator
76561197960273129,:TF: [X-Rok]
76561197960273137,mit
76561197960273145,d00dy
76561197960273168,EeeK-Daz23
76561197960273189,bkd.RaGe -.^
76561197960273192,Lord BoB CUP
76561197960273202,BikerSk8rKid (i ring)
76561197960273207,Aabe
76561197960273212,[StG]Alb [FR]
76561197960273219,DoC
76561197960273222,SUPER SARS
76561197960273254,BYM
76561197960273255,Briscoe
76561197960273275,Draco
76561197960273276,Hallba
76561197960273281,Korbzilla
76561197960273308,Boshinko
76561197960273326,Vaduz
76561197960273350,bulletproofjello
76561197960273351,Fredtacular
76561197960273399,Egor
76561197960273410,m1kke
76561197960273429,lordie
76561197960273442,I$0L|-|A73
76561197960273450,_j o h n
76561197960273458,Vigilance
76561197960273459,vibez
76561197960273467,ragneg
76561197960273470,Petes
76561197960273489,NomadicNinja
76561197960273499,hammett
76561197960273505,Ninja Sakura
76561197960273507,zft
76561197960273508,Ziggurat
76561197960273512,Orion
76561197960273548,batch
76561197960273557,osiso
76561197960273559,kuga
76561197960273572,notgnal
76561197960273575,Cosmos
76561197960273579,FAnta
76561197960273610,Zerak
76561197960273615,skewd
76561197960273637,Hoolyz
76561197960273639,cywu
76561197960273651,|trP| DeviousX
76561197960273654,menkey
76561197960273663,tasKER
76561197960273668,Lode
76561197960273673,EvilZone | Dre@mer
76561197960273682,ImMikePFool
76561197960273717,CHEEZMania
76561197960273721,LoAll
76561197960273762,mumblyjoe23
76561197960273770,phiya
76561197960273785,shagmooth
76561197960273808,Sinistral
76561197960273813,Bud
76561197960273814,motardthemonster
76561197960273828,[NF] Jaspion
76561197960273836,Judge Fluffy
76561197960273861,lookalike
76561197960273862,Rommel
76561197960273873,C A S U A L - T
76561197960273883,hapSnap
76561197960273890,Orkel
76561197960273946,Foogar
76561197960273951,effect
76561197960273956,nosk1
76561197960273958,[CoBrA]SLiCE
76561197960273962,SouperSauce
76561197960273966,[BS] Vino
76561197960273984,Laconic Fourth
76561197960273989,The Flying Spaghetti Monster
76561197960274003,Sumantro
76561197960274004,Moose&Squirrel
76561197960274033,Skie
76561197960274056,cardoor
76561197960274060,n*3
76561197960274071,Mc.mice
76561197960274088,Snoopster* : )
76561197960274117,Kzaorhsne
76561197960274122,schemo
76561197960274124,Zibazoo
76561197960274150,ProfessorLur
76561197960274158,Kevlar | 3-PG.com â¤
76561197960274159,ZahanTheThief
76561197960274162,kreuzi
76561197960274172,Chelmo
76561197960274194,Jezza
76561197960274238,EBD
76561197960274247,Flame ( Í¡Â° ÍœÊ–ï»¿ Í¡Â°)
76561197960274254,HunajaMuro
76561197960274259,TmotG
76561197960274260,n00blet
76561197960274267,NuffNuff
76561197960274285,drath
76561197960274289,Gruntled Employee
76561197960274294,Hushkit
76561197960274298,pandas | brad
76561197960274301,TReLeC
76561197960274310,AllYourBase
76561197960274313,Eeeep
76561197960274315,dr4gon
76561197960274318,Nullzero
76561197960274348,pinhead`
76561197960274362,tyrannus
76561197960274419,wls
76561197960274432,[U.s.R] Ranti (â€¢_-)
76561197960274439,Listen
76561197960274459,[AOB]Phantom
76561197960274469,RaHzoO... BvB machT!
76561197960274493,Nirvana
76561197960274496,NmE
76561197960274523,cr
76561197960274560,kerr
76561197960274605,HalcyoN // hellscraper
76561197960274619,Dr. ?
76561197960274639,J. G. LePouf
76561197960274652,ElKabong
76561197960274674,"___alt ""half-frag"""
76561197960274732,Notte
76561197960274759,ssg
76561197960274765,Loose Cannon
76561197960274794,Poek
76561197960274800,Robin
76561197960274805,Knut
76561197960274810,xX_ItZ_KiNgZz_Xx
76561197960274814,Onubense
76561197960274821,Freelk
76561197960274822,Ninjada
76561197960274834,Retostelija
76561197960274845,Fahren
76561197960274848,Phizzle
76561197960274850,rolemodel
76561197960274873,Duke
76561197960274885,morepower
76561197960274887,STEVE LURKEL
76561197960274909,SgtKaZe
76561197960274912,hold on nugget im eating
76561197960274921,Satan
76561197960274935,booost
76561197960274942,T3rm1
76561197960274961,=VK=Silent
76561197960274974,pOpArOb #OGC
76561197960274987,HOA#103@DkH
76561197960274994,DarkElf
76561197960275020,arCane
76561197960275067,Caboose-Bro
76561197960275071,psvmrkCSR [SE]
76561197960275076,kormendi
76561197960275082,Axis
76561197960275127,fredde9
76561197960275156,amikami
76561197960275168,royeee
76561197960275171,Wetzer
76561197960275176,Azlan
76561197960275188,karmagnet
76561197960275191,boeckelmann
76561197960275197,FetziFetzt!!!
76561197960275202,paulie
76561197960275245,Eddfaf
76561197960275248,DoomsDayPoptart
76561197960275251,GJ
76561197960275263,6ues
76561197960275274,miko
76561197960275288,Anny Body
76561197960275312,finger
76561197960275314,holzed
76561197960275326,misty
76561197960275329,Kaj
76561197960275336,Scotch
76561197960275339,[Ars]Vendy
76561197960275343,b00a
76561197960275362,ggleouf
76561197960275369,bannedsquatcH
76561197960275379,sooty
76561197960275380,massives
76561197960275391,impi
76561197960275395,smoochy
76561197960275431,Bopperperson
76561197960275439,ormotti
76561197960275472,TrickZ
76561197960275481,dennis
76561197960275504,Tagert
76561197960275516,rek
76561197960275523,killasnap
76561197960275543,chlorium
76561197960275548,Sw1ft1
76561197960275556,Eyerate
76561197960275560,Makaveli |TG|
76561197960275576,unk
76561197960275612,4T2
76561197960275616,Malton
76561197960275622,Reiven
76561197960275624,Kenny
76561197960275642,knot
76561197960275646,Quattra
76561197960275654,Vargavinter
76561197960275682,..:: West ::..
76561197960275693,(-TN-) offtopic
76561197960275716,CrimsonHandHiro
76561197960275718,Bullet-Tooth Tony
76561197960275720,Brian
76561197960275730,V//\//\/Y
76561197960275739,...CoCo...
76561197960275752,RT.NaMz
76561197960275768,aLcm
76561197960275780,Big Nasty!!!
76561197960275807,Isle
