gamesid,appName,appType,price,release_Date,rating,requiredAge,is_Multiplayer,steam_appid,average_forever,owners,achievement,ownersNumerical
341930,Space Station Alpha,game,5.99,2015-02-27 00:00:00,-1,0,0,341930,0,"20,000 .. 50,000",No,35000
341940,Hatred,game,10.99,2015-06-01 00:00:00,43,18,0,341940,206,"200,000 .. 500,000",No,250000
341950,Lux Delux,game,9.99,2015-05-01 00:00:00,-1,0,1,341950,79,"20,000 .. 50,000",No,35000
341980,Dispatcher,game,9.99,2015-11-12 00:00:00,-1,0,1,341980,287,"100,000 .. 200,000",No,150000
342020,BiT Evolution,game,9.99,2015-06-09 00:00:00,-1,0,0,342020,0,"50,000 .. 100,000",No,75000
342090,The Clans - Saga of the Twins,game,9.99,2015-04-21 00:00:00,-1,0,0,342090,639,"20,000 .. 50,000",No,35000
342100,Sym,game,7.99,2015-05-07 00:00:00,61,0,0,342100,0,"0 .. 20,000",No,10000
342150,Games of Glory,game,0.0,2015-05-26 00:00:00,-1,0,1,342150,74,"200,000 .. 500,000",No,250000
342180,Arizona Sunshine,game,0.0,2016-05-07 20:16:00,-1,0,0,342180,128,"200,000 .. 500,000",No,250000
342190,Skyworld,game,0.0,2016-05-07 20:16:00,-1,0,1,342190,0,"0 .. 20,000",No,10000
342200,MechWarrior Online™,game,0.0,2015-12-10 00:00:00,-1,0,1,342200,812,"1,000,000 .. 2,000,000",No,150000
342230,Air Guardians,game,2.99,2015-01-28 00:00:00,-1,0,0,342230,0,"50,000 .. 100,000",No,75000
342240,SCHAR: Blue Shield Alliance,game,3.99,2015-03-03 00:00:00,-1,0,0,342240,755,"0 .. 20,000",No,10000
342250,Aspectus: Rinascimento Chronicles,game,4.99,2015-05-04 00:00:00,-1,0,0,342250,0,"0 .. 20,000",No,10000
342260,Nevermind,game,19.99,2015-09-29 00:00:00,-1,0,0,342260,0,"50,000 .. 100,000",No,75000
342280,Manyland,game,8.99,2015-12-07 00:00:00,-1,0,1,342280,0,"0 .. 20,000",No,10000
342300,Zombie Kill of the Week - Reborn,game,6.99,2015-03-13 00:00:00,-1,0,1,342300,0,"50,000 .. 100,000",No,75000
342310,RIOT - Civil Unrest,game,0.0,1970-01-01 00:00:00,-1,0,1,342310,32,"20,000 .. 50,000",No,35000
342350,Into The Gloom,game,2.99,2015-04-07 00:00:00,-1,0,0,342350,0,"0 .. 20,000",No,10000
342360,Train of Afterlife,game,12.99,2015-01-13 00:00:00,-1,0,0,342360,241,"0 .. 20,000",No,10000
342450,Sword Daughter,game,6.99,2015-02-13 00:00:00,-1,0,0,342450,0,"0 .. 20,000",No,10000
342480,Gunscape,game,0.0,2016-03-01 00:00:00,-1,0,1,342480,175,"200,000 .. 500,000",No,250000
342490,Shipwreck,game,2.99,2015-02-13 00:00:00,-1,0,0,342490,0,"0 .. 20,000",No,10000
342500,Human Extinction Simulator,game,19.99,2015-01-21 00:00:00,-1,0,0,342500,0,"0 .. 20,000",No,10000
342510,Bret Airborne,game,9.99,2015-01-29 00:00:00,-1,0,0,342510,55,"0 .. 20,000",No,10000
342520,BoxesWithGuns,game,1.99,2015-04-14 00:00:00,-1,0,0,342520,1,"20,000 .. 50,000",No,35000
342530,Heroes Never Lose: Professor Puzzler's Perplexing Ploy,game,8.99,2015-11-23 00:00:00,-1,0,1,342530,0,"0 .. 20,000",No,10000
